HDR,ROLLING SYSTEM DEMAND
VD,20200310000000,25004
VD,20200310000500,25340
VD,20200310001000,25407
VD,20200310001500,25422
VD,20200310002000,25401
VD,20200310002500,25391
VD,20200310003000,25366
VD,20200310003500,25634
VD,20200310004000,25622
VD,20200310004500,25661
VD,20200310005000,25647
VD,20200310005500,25617
VD,20200310010000,25727
VD,20200310010500,25822
VD,20200310011000,25874
VD,20200310011500,25914
VD,20200310012000,25790
VD,20200310012500,25605
VD,20200310013000,25432
VD,20200310013500,25376
VD,20200310014000,25228
VD,20200310014500,25185
VD,20200310015000,25184
VD,20200310015500,25155
VD,20200310020000,25148
VD,20200310020500,25273
VD,20200310021000,25221
VD,20200310021500,25065
VD,20200310022000,24943
VD,20200310022500,24892
VD,20200310023000,24889
VD,20200310023500,24968
VD,20200310024000,24965
VD,20200310024500,24927
VD,20200310025000,24832
VD,20200310025500,24780
VD,20200310030000,24709
VD,20200310030500,24808
VD,20200310031000,24767
VD,20200310031500,24799
VD,20200310032000,24860
VD,20200310032500,24851
VD,20200310033000,24707
VD,20200310033500,24596
VD,20200310034000,24462
VD,20200310034500,24413
VD,20200310035000,24378
VD,20200310035500,24302
VD,20200310040000,24117
VD,20200310040500,23902
VD,20200310041000,23920
VD,20200310041500,23926
VD,20200310042000,23880
VD,20200310042500,23851
VD,20200310043000,23855
VD,20200310043500,23813
VD,20200310044000,23897
VD,20200310044500,23930
VD,20200310045000,24063
VD,20200310045500,24162
VD,20200310050000,24102
VD,20200310050500,24075
VD,20200310051000,24106
VD,20200310051500,24166
VD,20200310052000,24412
VD,20200310052500,24525
VD,20200310053000,24592
VD,20200310053500,24621
VD,20200310054000,24723
VD,20200310054500,24919
VD,20200310055000,25247
VD,20200310055500,25664
VD,20200310060000,25810
VD,20200310060500,26466
VD,20200310061000,26946
VD,20200310061500,27402
VD,20200310062000,27834
VD,20200310062500,28232
VD,20200310063000,28628
VD,20200310063500,29040
VD,20200310064000,29579
VD,20200310064500,30036
VD,20200310065000,30411
VD,20200310065500,30884
VD,20200310070000,31306
VD,20200310070500,31923
VD,20200310071000,32550
VD,20200310071500,32946
VD,20200310072000,33281
VD,20200310072500,33562
VD,20200310073000,33781
VD,20200310073500,33879
VD,20200310074000,34000
VD,20200310074500,34141
VD,20200310075000,34283
VD,20200310075500,34362
VD,20200310080000,34496
VD,20200310080500,34399
VD,20200310081000,34389
VD,20200310081500,34467
VD,20200310082000,34502
VD,20200310082500,34584
VD,20200310083000,34664
VD,20200310083500,34705
VD,20200310084000,34633
VD,20200310084500,34583
VD,20200310085000,34686
VD,20200310085500,34692
VD,20200310090000,34778
VD,20200310090500,34973
VD,20200310091000,35088
VD,20200310091500,35093
VD,20200310092000,35061
VD,20200310092500,34994
VD,20200310093000,34988
